nationality,residence_country,permit_type,permit_months_remaining,destination_country,visa_purpose,other_visas,countries_visited,prior_rejection,outcome,rejection_reason,embassy_country,source
Colombian,Colombia,None,,United States,Tourist/Visit,None,,No,Rejected,"214(b) presumed (no reason given at the window) - trip was framed around visiting for a grandchild's 1st birthday, a pattern consulates reportedly read as a likely childcare/overstay risk for grandparents of young children, compounded by modest income.",,VisaJourney
Thai,Thailand,None,,United States,Tourist/Visit,None,,No,Rejected,"214(b) presumed - interview ended abruptly after the wife misspoke that her husband's business was 'located' in America (he is actually a mostly-retired remote writer based in Thailand); the officer cut off the interview at that single answer and never asked about her own ties (business license, commercial lease, home under construction, family). Shows one early answer touching on the US-citizen spouse can end the interview before the applicant's own ties are even considered.",,VisaJourney
Chilean,Chile,None,,United States,Tourist/Visit,None,,No,Approved,"Approved despite being married to a US citizen (a factor that sinks many other applicants in this dataset) - interviewed in Bolivia rather than Chile; forum poster believed a large part of the approval was simply not being a national of the higher-risk country (Bolivia) where the interview took place, since nearly everyone ahead of her in the Bolivia line was denied in 2-3 questions. Suggests nationality/interview-post risk profile can outweigh the 'married to a USC' red flag.",,VisaJourney
Mexican,Mexico,None,,United States,Tourist/Visit,None,,No,Rejected,"Renewal denied after 10 years of fully compliant B2 use; consulate seemed to flag that her original visa had been issued just 1 day before she turned 18, treated as a red flag. The trip's purpose (helping her sister after a new baby) risked reading as impermissible childcare/nanny work, and other members noted a letter of invitation tends to hurt B-visa cases rather than help since there is no 'sponsorship' concept for B visas.",,VisaJourney
Brazilian (naturalized Portuguese/EU),Brazil,None,,United States,Tourist/Visit,None,,Yes,Rejected,"Originally denied a B2 from Brazil for insufficient ties; later became a dual EU (Portuguese) citizen and tried ESTA instead, but ESTA was also denied because it is linked to the same biometric identity record (name, DOB, photo) as the earlier B2 refusal. A new passport/nationality does not erase a US visa refusal history.",,VisaJourney
Nigerian,Qatar,Permanent residence (Qatar),,United States,Tourist/Visit,None,,No,Rejected,"214(b) - being a Nigerian national already living outside Nigeria (in Qatar) was itself read as suggestive of immigrant intent; Nigeria has an unusually high (~50%) B-visa refusal rate, and single women of marrying age face extra scrutiny. Interview lasted only two questions before refusal.",,VisaJourney
Chinese,China,None,,United States,Tourist/Visit,None,,No,Rejected,"214(b) - despite owning property (including a rental property) and strong stated ties (retired, non-English speaking, extended family nearby), both parents were denied; their daughter's US green card status was seen as the dominant pull factor. Forum also flagged that unpaid childcare help for a new grandchild is technically impermissible 'work' on a B1/B2 and can itself be a red flag.",,VisaJourney
Guyanese,Guyana,None,,United States,Tourist/Visit,None,,Yes,Rejected,"Denied not primarily for a pandemic-era overstay (which had documented extenuating circumstances) but because two earlier, fully legal 6-month stays (within visa terms, sanctioned at the port of entry) back-to-back over several years were read by the officer as 'abusing' the B2 as a long-term living arrangement. Unpaid childcare for relatives' kids while staying with family was also treated as unauthorized work (displacing a US nanny). Shows that even fully-within-limits repeated 6-month stays can themselves become grounds for a future denial.",,VisaJourney
British,United Kingdom,None,,United States,Tourist/Visit,None,1,Yes,Rejected,"214(b), twice - a 22-year-old with no convictions (two arrests as a minor/young adult, both resulting in No Further Action) was refused twice; the first interview required a 221(g) for a Subject Access Request (SAR) since he'd only brought an ACRO 'No Trace' report, and despite submitting the SAR he was told his 'lack of disclosure regarding his complete criminal history' didn't satisfy requirements. Shows a mere arrest history with zero convictions can still sink a young, tie-light applicant, and providing the wrong type of police document can be read as non-disclosure.",,VisaJourney
,,,,United States,Tourist/Visit,Canada,,No,Rejected,"214(b) - two children in the process of being adopted by US-citizen parents were denied tourist visas for a stopover en route to the parents' new jobs in Canada; consulate cited insufficient ties to their home country, and the interviewer was reportedly critical/condescending about the multi-year gap before the family lived together (delayed by COVID and court process), and did not review proof of the parents' Canadian job offers.",,VisaJourney
,,,,United States,Tourist/Visit,None,,Yes,Rejected,"214(b)/possible misrepresentation flag - first B2 application (Jan 2024) was denied for lack of ties, citing a trip with his brother and no family in the US; after marrying the US-based petitioner mid-year, he reapplied months later mentioning the marriage, but the officer accused him of 'lying' about the earlier claim of no US family ties and denied him again without letting him explain. Shows that reapplying within the same year with a materially different story can be read as prior misrepresentation/fraud rather than a genuine change in circumstances, and that a US citizen spouse is treated as a pull factor, not a tie that helps a tourist visa case.",,VisaJourney
Mexican,Mexico,None,,United States,Tourist/Visit,US,,No,Approved,"Approved, but the visa was annotated/restricted to a single entry and one specific US state with only 1-year validity (rather than a typical multi-year B2), despite a strong individual profile (full-time student, well-off family, prior fully-compliant J1 visa, extensive international travel, no legal issues). Forum consensus: this reflects broad nationality-level risk profiling (Mexican nationals' aggregate illegal-crossing/overstay rates) overriding individual merits - even a strong applicant can get a heavily limited visa instead of a full one.",,VisaJourney
Chinese,China,None,,United States,Tourist/Visit,None,,No,Rejected,"214(b) - 'not enough assets to tie her back to China,' despite being elderly and retired, which forum folklore treats as an automatic 'slam dunk' tie. Counters that folklore: age alone isn't sufficient, assets still matter, and nationality (China vs. Philippines, per other members' experience) appears to carry very different baseline odds for an otherwise similar retired-parent profile.",,VisaJourney
British,United Kingdom,None,,United States,Tourist/Visit,None,,Yes,Rejected,"212(a)(2)(A)(i)(I) crime involving moral turpitude (a 2009/10 false-accounting conviction) plus 212(a)(6)(C)(i) misrepresentation for not disclosing that conviction on a 2018 ESTA application - waiver of inadmissibility explicitly not recommended. The misrepresentation finding (not the underlying old conviction) is what carries the harder-to-overcome, near-lifetime bar; a B-visa waiver requires proven extreme hardship to a US citizen/resident relative, which a business/tourist traveler essentially never has.",,VisaJourney
Polish,Poland,None,,United States,Tourist/Visit,None,,Yes,Rejected,"Unclear formal grounds - an earlier B1/B2 visa was revoked in 2015 after the applicant sent an angry/threatening Facebook message to a US-based acquaintance who reported her; consulate told her she is not formally 'inadmissible' or permanently banned, yet 9 years later she was refused again on reapplying via ESTA and then a fresh B visa. Shows a revoked visa tied to a reported personal dispute can create a lasting, opaque negative flag that keeps causing denials even without formal inadmissibility.",,VisaJourney
Costa Rican,Costa Rica,None,,United States,Tourist/Visit,None,,Yes,Rejected,"214(b), 3rd-4th consecutive year - denied despite an active pending K-1 fiance visa petition and documentation (owns property in Costa Rica, expedited request tied to the fiancee's imminent childbirth); officer gave a generic refusal without reviewing submitted paperwork. A sibling's prior deportation for working illegally on a B1/B2 visa likely cast a negative 'family pattern' shadow. A pending K-1 petition does essentially nothing to help a B2 case - if anything it signals immigrant intent.",,VisaJourney
Malaysian,Malaysia,None,,United States,Tourist/Visit,None,,No,Approved,"Initially given a 221(g)/DS-5535 referral (extensive supplemental security questionnaire covering 15 years of travel, addresses and social media) despite strong ties (senior job, extended family, extensive travel history), while his wife with weaker ties (unemployed) was approved instantly the same day. Family suspected his common Muslim name may have triggered a security namecheck. Visa was eventually issued about 8-9 months later, only after the applicant proactively emailed the embassy for a status update.",,VisaJourney
Trinidadian,Trinidad and Tobago,None,,United States,Tourist/Visit,None,0,No,Rejected,"214(b) - denied despite 10-15 years of stable employment each and a home (though on family land with no property deed in their name) and no debt; the officer specifically asked how many children they have, and denied them immediately after they answered 'one' (their US-based son, the petitioner). Suggests having an only child abroad in the US is treated as a strong pull factor that can override other financial/property ties.",,VisaJourney
,,,,United States,Tourist/Visit,None,,No,Approved,"Approved at interview, but the CEAC status tracker briefly showed 'Refused' immediately afterward - a common, poorly-explained placeholder/pending status that later flipped to 'Approved' and then 'Issued' within about a week. Caused significant needless panic; 'Refused' right after an interview does not necessarily mean denied.",,VisaJourney
Uzbek,Uzbekistan,None,,United States,Tourist/Visit,Schengen,,No,Rejected,"214(b) - as soon as the officer learned the applicant's spouse is a US citizen, the interview effectively ended. Strong evidence (permanent employment for both spouses, a specific documented reason for a temporary visit, and a clean prior Schengen travel history) wasn't enough to overcome the presumption once the USC-spouse fact was on the table - reinforcing that a US citizen spouse is treated as such a strong pull factor it can override nearly any tie evidence for a B2.",,VisaJourney
India,,None,,United Kingdom,Tourist/Visit,None,,No,Rejected,Rental deposit credited from a previous house owner was flagged as an unclear/inconsistent source of funds,,r/ukvisa
Pakistan,United Kingdom,UK Spouse Visa,,Saudi Arabia,Tourist/Visit,UK,,No,Rejected,Saudi tourist eVisa rejected despite holding a valid UK spouse visa; no clear reason given,,r/visarejections
Turkey,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,"Initially rejected, then approved on appeal after providing additional evidence",,r/ukvisa
India,,E-Visa,,Netherlands,Tourist/Visit,None,,No,Rejected,Insufficient/weak travel history,Netherlands,r/SchengenVisa
India,,Spouse Visa,,France,Tourist/Visit,None,,No,Rejected,Short-stay Schengen visa rejected while planning to marry a French citizen,France,r/SchengenVisa
Turkey,,Schengen Visa,,Germany,Tourist/Visit,None,,No,Rejected,Bank statement issue,Germany,r/SchengenVisa
Singapore,,F-1 Student Visa,,United States,Student,None,,No,Approved,,,r/visarejections
India,,None,,United Kingdom,Tourist/Visit,None,,No,Approved,,,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,,,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,,,r/ukvisa
Philippines,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,"Approved despite being unemployed, single, with no property/business ties and no sponsor -- illustrates ties aren't always decisive",,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,First attempt,,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,Applied via Bangalore VFS,,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,,,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,Approved in 3 days,,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,6-month visa granted,,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,Yes,Approved,Approved on 2nd attempt after a previous refusal,,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,No,Approved,,,r/ukvisa
Pakistan,,Spouse Visa,,United Kingdom,Spouse/Family,None,,No,Approved,"Priority service, approved in 24 working days",,r/ukvisa
India,,Visitor/Tourist Visa,,Denmark,Tourist/Visit,Schengen,,No,Approved,,Denmark,r/SchengenVisa
Sri Lanka,,Visitor/Tourist Visa,,Norway,Tourist/Visit,Schengen,,No,Approved,,Norway,r/SchengenVisa
United Kingdom,,Schengen Visa,,Greece,Tourist/Visit,Schengen,,No,Approved,,Greece,r/SchengenVisa
India,United States,H-1B Work Visa,,United States,Work,US,,No,Approved,,,r/visarejections
India,UAE,Schengen Visa,,Denmark,Tourist/Visit,Schengen,,No,Rejected,,Denmark,r/SchengenVisa
Nigeria,,Student Visa,,United Kingdom,Student,None,,No,Rejected,Scholarship funding deemed insufficient,,r/ukvisa
Egypt,Germany,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,Yes,Rejected,"Second application, rejected again after a previous refusal",,r/ukvisa
India,,Visitor/Tourist Visa,,United Kingdom,Tourist/Visit,None,,Yes,Rejected,Officer accepted all financial documents but refused on grounds of insufficient ties to India -- 3rd consecutive refusal for this applicant's mother,,r/ukvisa
India,,E-Visa,,Russia,Tourist/Visit,None,,No,Rejected,Insufficient/weak travel history,,r/SchengenVisa
Croatia,,E-Visa,,United States,Tourist/Visit,None,,No,Rejected,Previous overstay concern -- likely why a full visa was required instead of ESTA,,r/SchengenVisa
